N,EMPLOYEE_ID,TRUCK_ID,DATE
6,602751,76622,2010-09-11
7,602751,393172,2010-09-12
13,602751,393172,2010-09-18
14,602751,393172,2010-09-19
20,602751,393172,2010-09-25
21,602751,393172,2010-09-26
27,602751,393172,2010-10-02
28,602751,393172,2010-10-03
34,602751,393172,2010-10-09
35,602751,76622,2010-10-10
41,602751,393172,2010-10-16
42,602751,393172,2010-10-17
48,602751,393172,2010-10-23
49,602751,393172,2010-10-24
55,602751,393172,2010-10-30
56,602751,393172,2010-10-31
62,602751,393172,2010-11-06
63,602751,393172,2010-11-07
69,602751,393172,2010-11-13
70,602751,70686,2010-11-14
1,603906,70691,2010-09-06
2,603906,70691,2010-09-07
4,603906,70691,2010-09-09
5,603906,70661,2010-09-10
7,603906,70691,2010-09-12
11,603906,70691,2010-09-16
12,603906,70663,2010-09-17
14,603906,70663,2010-09-19
16,603906,70611,2010-09-21
17,603906,70661,2010-09-22
18,603906,70691,2010-09-23
21,603906,70663,2010-09-26
23,603906,70661,2010-09-28
24,603906,70661,2010-09-29
25,603906,70691,2010-09-30
26,603906,70691,2010-10-01
28,603906,70661,2010-10-03
29,603906,70663,2010-10-04
30,603906,70663,2010-10-05
31,603906,70661,2010-10-06
32,603906,70663,2010-10-07
33,603906,70691,2010-10-08
35,603906,70663,2010-10-10
37,603906,70663,2010-10-12
38,603906,70691,2010-10-13
42,603906,70663,2010-10-17
44,603906,70663,2010-10-19
45,603906,70661,2010-10-20
46,603906,70663,2010-10-21
49,603906,70663,2010-10-24
51,603906,70663,2010-10-26
52,603906,70661,2010-10-27
53,603906,70663,2010-10-28
54,603906,70691,2010-10-29
56,603906,70663,2010-10-31
57,603906,70663,2010-11-01
58,603906,70663,2010-11-02
60,603906,70663,2010-11-04
61,603906,70663,2010-11-05
63,603906,70663,2010-11-07
64,603906,70691,2010-11-08
65,603906,70691,2010-11-09
67,603906,70663,2010-11-11
68,603906,70691,2010-11-12
70,603906,70663,2010-11-14
2,500510,70696,2010-09-07
3,500510,70696,2010-09-08
4,500510,70696,2010-09-09
5,500510,372431,2010-09-10
9,500510,372431,2010-09-14
10,500510,70696,2010-09-15
11,500510,70696,2010-09-16
12,500510,76626,2010-09-17
15,500510,417201,2010-09-20
16,500510,70696,2010-09-21
17,500510,372431,2010-09-22
18,500510,70696,2010-09-23
19,500510,70696,2010-09-24
22,500510,70695,2010-09-27
23,500510,70696,2010-09-28
24,500510,70696,2010-09-29
25,500510,70696,2010-09-30
26,500510,70696,2010-10-01
30,500510,372431,2010-10-05
31,500510,70696,2010-10-06
33,500510,70696,2010-10-08
36,500510,1167,2010-10-11
37,500510,70696,2010-10-12
38,500510,372431,2010-10-13
39,500510,70696,2010-10-14
40,500510,372431,2010-10-15
43,500510,70696,2010-10-18
44,500510,372431,2010-10-19
46,500510,70696,2010-10-21
47,500510,372431,2010-10-22
50,500510,70696,2010-10-25
51,500510,70696,2010-10-26
52,500510,70696,2010-10-27
53,500510,70696,2010-10-28
54,500510,70696,2010-10-29
57,500510,70666,2010-11-01
58,500510,372431,2010-11-02
59,500510,70696,2010-11-03
60,500510,70696,2010-11-04
61,500510,70696,2010-11-05
64,500510,70696,2010-11-08
65,500510,372431,2010-11-09
66,500510,372431,2010-11-10
67,500510,372431,2010-11-11
68,500510,76626,2010-11-12
2,601087,93605,2010-09-07
3,601087,93605,2010-09-08
7,601087,93607,2010-09-12
8,601087,93607,2010-09-13
9,601087,70668,2010-09-14
17,601087,93607,2010-09-22
18,601087,93607,2010-09-23
22,601087,93607,2010-09-27
23,601087,70668,2010-09-28
25,601087,93607,2010-09-30
28,601087,93607,2010-10-03
29,601087,93607,2010-10-04
30,601087,93605,2010-10-05
31,601087,93607,2010-10-06
32,601087,70668,2010-10-07
33,601087,93607,2010-10-08
37,601087,93607,2010-10-12
38,601087,93605,2010-10-13
39,601087,93607,2010-10-14
40,601087,70668,2010-10-15
41,601087,70668,2010-10-16
42,601087,93607,2010-10-17
43,601087,4028,2010-10-18
44,601087,93605,2010-10-19
45,601087,93605,2010-10-20
49,601087,93607,2010-10-24
50,601087,93607,2010-10-25
51,601087,93605,2010-10-26
52,601087,70668,2010-10-27
53,601087,93607,2010-10-28
56,601087,93607,2010-10-31
57,601087,70668,2010-11-01
58,601087,70668,2010-11-02
59,601087,93605,2010-11-03
60,601087,93605,2010-11-04
63,601087,93607,2010-11-07
64,601087,77645,2010-11-08
65,601087,70652,2010-11-09
66,601087,93605,2010-11-10
67,601087,93607,2010-11-11
70,601087,93607,2010-11-14
1,603909,70692,2010-09-06
2,603909,70692,2010-09-07
3,603909,70692,2010-09-08
4,603909,70692,2010-09-09
5,603909,70692,2010-09-10
7,603909,70692,2010-09-12
8,603909,70692,2010-09-13
9,603909,70692,2010-09-14
10,603909,70692,2010-09-15
11,603909,70692,2010-09-16
14,603909,70692,2010-09-19
15,603909,70692,2010-09-20
16,603909,70692,2010-09-21
17,603909,70692,2010-09-22
18,603909,70692,2010-09-23
21,603909,70692,2010-09-26
22,603909,70692,2010-09-27
23,603909,70692,2010-09-28
24,603909,70692,2010-09-29
25,603909,70692,2010-09-30
28,603909,70692,2010-10-03
29,603909,70692,2010-10-04
30,603909,70692,2010-10-05
31,603909,70692,2010-10-06
32,603909,70692,2010-10-07
35,603909,70692,2010-10-10
36,603909,70692,2010-10-11
37,603909,70692,2010-10-12
38,603909,70692,2010-10-13
