TRUCK_ID,IN_SERVICE
1188,TRUE
4028,TRUE
393183,TRUE
74638,TRUE
93605,TRUE
393178,TRUE
4008,TRUE
4005,TRUE
4007,TRUE
393172,TRUE
393198,TRUE
83634,TRUE
76628,TRUE
372434,TRUE
393204,TRUE
77672,TRUE
76626,TRUE
393173,TRUE
393187,TRUE
4009,TRUE
4026,TRUE
1167,TRUE
77671,TRUE
393181,TRUE
393175,TRUE
372431,TRUE
83627,TRUE
4024,TRUE
93603,TRUE
393180,TRUE
82631,TRUE
393179,TRUE
76625,TRUE
4021,TRUE
70612,TRUE
83622,TRUE
83625,TRUE
393196,TRUE
77676,TRUE
83632,TRUE
4022,TRUE
77668,TRUE
76623,TRUE
393191,TRUE
4004,TRUE
393186,TRUE
4019,TRUE
70608,TRUE
4001,TRUE
4015,TRUE
74640,TRUE
93607,TRUE
77670,TRUE
77687,TRUE
372433,TRUE
74641,TRUE
82632,TRUE
77675,TRUE
372432,TRUE
393174,TRUE
93614,TRUE
93613,TRUE
93606,TRUE
76632,TRUE
393193,TRUE
77685,TRUE
4025,TRUE
74642,TRUE
70613,TRUE
76631,TRUE
93615,TRUE
393201,TRUE
93609,TRUE
74639,TRUE
93610,TRUE
93611,TRUE
4020,TRUE
83630,TRUE
70607,TRUE
4011,TRUE
1340,TRUE
70611,TRUE
393200,TRUE
77683,TRUE
77682,TRUE
393176,TRUE
372435,TRUE
76629,TRUE
4012,TRUE
375473,TRUE
58380,TRUE
70659,TRUE
885,TRUE
56353,TRUE
70662,TRUE
1039,TRUE
70661,TRUE
70658,TRUE
83629,TRUE
375477,TRUE
1036,TRUE
1044,TRUE
1078,TRUE
83623,TRUE
4016,TRUE
393202,TRUE
393185,TRUE
77684,TRUE
393188,TRUE
393182,TRUE
83628,TRUE
393190,TRUE
76630,TRUE
393189,TRUE
77678,TRUE
908,TRUE
4010,TRUE
4023,TRUE
1134,TRUE
83635,TRUE
77680,TRUE
77009,TRUE
1168,TRUE
83624,TRUE
93616,TRUE
82630,TRUE
76624,TRUE
393177,TRUE
375474,TRUE
375476,TRUE
4017,TRUE
82629,TRUE
82627,TRUE
76627,TRUE
82628,TRUE
77679,TRUE
74643,TRUE
77669,TRUE
393195,TRUE
83631,TRUE
4003,TRUE
82626,TRUE
375475,TRUE
74675,TRUE
393199,TRUE
1004,TRUE
1269,TRUE
4027,TRUE
393171,TRUE
77689,TRUE
393192,TRUE
4014,TRUE
393194,TRUE
393203,TRUE
83621,TRUE
393184,TRUE
93604,TRUE
74644,TRUE
93618,TRUE
93608,TRUE
1137,TRUE
77688,TRUE
1024,TRUE
1171,TRUE
4018,TRUE
393197,TRUE
70668,TRUE
70664,TRUE
70667,TRUE
70660,TRUE
70669,TRUE
1337,TRUE
975,TRUE
70665,TRUE
70666,TRUE
992,TRUE
83633,TRUE
4013,TRUE
4002,TRUE
76622,TRUE
70606,TRUE
4006,TRUE
93617,TRUE
83626,TRUE
375478,TRUE
1187,TRUE
93612,TRUE
77686,TRUE
1338,TRUE
1046,TRUE
59272,TRUE
59274,TRUE
70663,TRUE
1339,TRUE
77677,TRUE
4000,TRUE
1108,TRUE
76621,TRUE
1341,TRUE
1279,TRUE
77681,TRUE
94609,TRUE
76005,TRUE
906,TRUE
70652,TRUE
58350,TRUE
70692,TRUE
56306,TRUE
1223,TRUE
70697,TRUE
70691,TRUE
70689,TRUE
70690,TRUE
70683,TRUE
70686,TRUE
70694,TRUE
70688,TRUE
70684,TRUE
70696,TRUE
1166,TRUE
70687,TRUE
59236,TRUE
59238,TRUE
59237,TRUE
1042,TRUE
417201,TRUE
76349,TRUE
59235,TRUE
70685,TRUE
999,TRUE
70695,TRUE
70693,TRUE
77645,TRUE
74117,TRUE
922,TRUE
